,IN_ACESSIBILIDADE_INEXISTENTE,DEF_LOCOMOCAO,DEF_AUDITIVA,DEF_VISUAL,FEDERAL,ESTADUAL,MUNICIPAL,PRIVADA,URBANA,RURAL
135,False,True,False,False,False,False,False,True,True,False
136,False,True,False,False,False,True,False,False,False,True
137,True,False,False,False,False,False,False,True,True,False
138,True,False,False,False,False,False,True,False,False,True
139,True,False,False,False,False,True,False,False,False,True
140,False,False,False,False,False,False,True,False,False,True
141,True,False,False,False,False,False,True,False,False,True
142,True,False,False,False,False,False,True,False,False,True
143,False,True,False,False,False,False,False,True,True,False
144,False,True,False,False,False,False,True,False,False,True
145,True,False,False,False,False,False,True,False,False,True
146,False,True,False,False,False,False,True,False,False,True
147,False,True,True,False,False,False,False,True,True,False
148,True,False,False,False,False,True,False,False,False,True
149,False,True,False,False,False,False,False,True,True,False
150,True,False,False,False,False,True,False,False,False,True
151,True,False,False,False,False,True,False,False,False,True
152,False,False,False,False,False,False,True,False,False,True
153,True,False,False,False,False,False,True,False,False,True
154,True,False,False,False,False,False,False,True,True,False
155,False,False,True,False,False,False,False,True,True,False
156,False,True,True,False,False,False,False,True,True,False
157,True,False,False,False,False,False,False,True,True,False
158,False,False,False,False,False,False,False,True,True,False
159,False,True,False,False,False,False,False,True,True,False
160,True,False,False,False,False,False,False,True,True,False
161,True,False,False,False,False,True,False,False,False,True
162,True,False,False,False,False,True,False,False,True,False
163,True,False,False,False,False,True,False,False,False,True
164,True,False,False,False,False,True,False,False,False,True
165,False,False,False,False,False,False,False,True,True,False
166,True,False,False,False,False,True,False,False,False,True
167,False,True,True,False,False,False,False,True,True,False
168,True,False,False,False,False,False,True,False,False,True
169,False,True,True,False,False,False,False,True,True,False
170,False,True,True,False,False,False,False,True,True,False
171,False,True,True,False,False,False,False,True,False,True
172,False,True,False,False,False,False,False,True,True,False
173,False,True,False,False,False,False,False,True,True,False
174,True,False,False,False,False,True,False,False,True,False
175,False,True,True,False,False,False,False,True,True,False
176,False,True,False,False,False,False,False,True,True,False
177,False,False,True,False,False,False,False,True,True,False
178,False,False,False,False,False,True,False,False,False,True
179,False,False,False,False,False,False,False,True,True,False
180,True,False,False,False,False,True,False,False,False,True
181,False,False,False,False,False,False,True,False,False,True
182,False,True,False,False,False,False,False,True,True,False
183,True,False,False,False,False,False,True,False,False,True
184,False,True,False,False,False,False,True,False,False,True
185,True,False,False,False,False,False,False,True,True,False
186,False,False,True,False,False,False,False,True,True,False
187,False,True,False,False,False,True,False,False,False,True
188,False,True,True,True,False,False,False,True,True,False
189,False,True,True,False,False,False,False,True,True,False
190,False,True,True,False,False,False,False,True,True,False
191,True,False,False,False,False,False,True,False,False,True
192,False,True,False,False,False,False,False,True,True,False
193,False,True,True,False,False,False,False,True,True,False
194,False,False,False,False,False,False,True,False,False,True
195,False,True,False,False,False,False,True,False,True,False
196,True,False,False,False,False,False,True,False,False,True
197,False,False,False,False,False,False,True,False,False,True
198,True,False,False,False,False,False,True,False,False,True
199,False,True,True,False,False,False,False,True,True,False
200,True,False,False,False,False,True,False,False,False,True
201,False,True,True,False,False,False,True,False,False,True
202,False,True,False,False,False,False,False,True,True,False
203,False,False,False,False,False,False,True,False,False,True
204,True,False,False,False,False,False,False,True,True,False
205,False,True,False,False,False,False,False,True,True,False
206,True,False,False,False,False,False,True,False,False,True
207,True,False,False,False,False,False,False,True,True,False
208,False,True,False,False,False,False,False,True,True,False
209,True,False,False,False,False,False,False,True,True,False
210,False,True,False,False,False,False,True,False,True,False
211,False,True,False,False,False,False,False,True,True,False
212,False,False,False,False,False,False,False,True,True,False
213,True,False,False,False,False,False,True,False,False,True
214,True,False,False,False,False,False,True,False,False,True
215,True,False,False,False,False,False,True,False,False,True
216,True,False,False,False,False,True,False,False,False,True
217,False,True,False,False,False,False,True,False,False,True
218,True,False,False,False,False,False,False,True,True,False
219,False,False,False,False,False,False,False,True,True,False
220,False,False,False,False,False,False,True,False,False,True
221,False,True,True,False,False,False,False,True,True,False
222,True,False,False,False,False,False,True,False,False,True
223,False,True,False,False,False,True,False,False,False,True
224,False,True,False,True,False,False,False,True,True,False
225,False,True,False,False,False,True,False,False,False,True
226,False,False,False,True,False,True,False,False,False,True
227,True,False,False,False,False,False,True,False,False,True
228,True,False,False,False,False,False,False,True,True,False
229,True,False,False,False,False,False,True,False,False,True
230,False,True,False,False,False,False,True,False,False,True
231,False,True,False,False,False,False,False,True,True,False
232,False,True,False,False,False,False,True,False,False,True
233,False,False,False,False,False,True,False,False,False,True
234,True,False,False,False,False,False,False,True,True,False
235,True,False,False,False,False,False,True,False,False,True
236,True,False,False,False,False,True,False,False,False,True
237,True,False,False,False,False,True,False,False,False,True
238,False,True,False,False,False,False,False,True,True,False
239,False,False,True,False,False,False,False,True,True,False
240,True,False,False,False,False,True,False,False,False,True
241,False,True,False,False,False,False,True,False,False,True
242,False,False,False,False,False,False,False,True,True,False
243,True,False,False,False,False,False,False,True,True,False
244,True,False,False,False,False,True,False,False,False,True
245,False,True,True,False,False,True,False,False,False,True
246,False,True,True,False,False,False,False,True,True,False
247,True,False,False,False,False,True,False,False,False,True
248,True,False,False,False,False,False,True,False,False,True
249,True,False,False,False,False,True,False,False,False,True
250,False,True,False,False,False,False,False,True,True,False
251,False,True,False,False,False,False,True,False,False,True
252,False,False,False,False,False,False,False,True,True,False
253,False,True,False,False,False,False,True,False,False,True
254,True,False,False,False,False,False,True,False,False,True
255,True,False,False,False,False,False,True,False,False,True
256,False,True,False,False,False,True,False,False,False,True
257,True,False,False,False,False,False,True,False,False,True
258,False,True,False,False,False,False,False,True,True,False
259,False,True,False,False,False,False,False,True,True,False
260,True,False,False,False,False,False,False,True,True,False
261,False,True,True,False,False,False,False,True,True,False
262,True,False,False,False,False,False,True,False,False,True
263,False,True,False,False,False,False,False,True,True,False
264,True,False,False,False,False,False,True,False,False,True
265,False,False,False,False,False,False,True,False,False,True
266,False,True,False,False,False,False,False,True,True,False
267,False,True,False,False,False,False,False,True,True,False
268,False,False,False,False,False,False,False,True,True,False
269,True,False,False,False,False,False,True,False,False,True
270,True,False,False,False,False,False,False,True,True,False
271,False,True,False,False,False,False,True,False,False,True
272,False,True,True,False,False,False,False,True,True,False
273,False,False,False,False,False,False,False,True,True,False
274,True,False,False,False,False,False,True,False,False,True
275,True,False,False,False,False,False,True,False,False,True
276,False,False,False,False,False,False,False,True,True,False
277,True,False,False,False,False,True,False,False,False,True
278,True,False,False,False,False,False,True,False,False,True
279,False,False,False,False,False,False,False,True,True,False
280,False,True,True,False,False,False,False,True,True,False
281,False,False,False,False,False,False,True,False,False,True
282,True,False,False,False,False,False,True,False,False,True
283,False,True,True,False,False,False,False,True,True,False
284,True,False,False,False,False,False,True,False,False,True
285,False,True,True,True,False,False,False,True,True,False
286,False,False,False,False,False,False,True,False,False,True
287,False,False,False,False,False,False,False,True,True,False
288,False,False,False,False,False,False,False,True,True,False
289,True,False,False,False,False,False,False,True,True,False
290,False,True,False,False,False,True,False,False,False,True
291,False,True,False,False,False,False,False,True,True,False
292,False,True,True,False,False,False,True,False,False,True
293,True,False,False,False,False,True,False,False,False,True
294,True,False,False,False,False,False,True,False,False,True
295,False,True,False,False,False,False,False,True,True,False
296,False,True,False,False,False,False,False,True,True,False
297,True,False,False,False,False,True,False,False,False,True
298,True,False,False,False,False,True,False,False,False,True
299,False,True,False,False,False,False,False,True,True,False
300,True,False,False,False,False,False,False,True,True,False
301,True,False,False,False,False,False,True,False,False,True
302,False,False,False,False,False,False,False,True,True,False
303,True,False,False,False,False,True,False,False,False,True
304,False,True,False,False,False,False,False,True,True,False
305,False,False,False,False,False,False,True,False,False,True
306,False,True,True,False,False,False,False,True,True,False
307,False,True,False,True,False,False,False,True,True,False
308,True,False,False,False,False,True,False,False,False,True
309,False,False,False,False,False,False,True,False,False,True
310,False,True,False,False,False,False,False,True,True,False
311,True,False,False,False,False,False,False,True,True,False
312,False,True,False,False,False,False,True,False,False,True
313,True,False,False,False,False,False,True,False,False,True
314,True,False,False,False,False,False,True,False,False,True
315,False,True,False,False,False,False,False,True,True,False
316,False,True,False,False,False,False,False,True,True,False
317,False,False,False,False,False,False,False,True,True,False
318,False,True,False,False,False,False,False,True,True,False
319,True,False,False,False,False,True,False,False,False,True
320,False,False,False,False,False,False,True,False,False,True
321,False,True,False,False,False,False,False,True,True,False
322,True,False,False,False,False,False,True,False,False,True
323,True,False,False,False,False,False,True,False,True,False
324,True,False,False,False,False,True,False,False,False,True
325,True,False,False,False,False,False,False,True,True,False
326,False,True,False,False,False,False,False,True,True,False
327,False,False,False,False,False,False,True,False,False,True
328,False,False,False,False,False,False,False,True,True,False
329,True,False,False,False,False,False,True,False,False,True
330,True,False,False,False,False,False,False,True,True,False
331,False,True,False,False,False,True,False,False,False,True
332,False,True,False,False,False,False,False,True,True,False
333,True,False,False,False,False,False,True,False,False,True
334,False,False,False,False,False,False,False,True,True,False
335,True,False,False,False,False,False,False,True,True,False
336,False,True,False,False,False,False,False,True,True,False
337,True,False,False,False,False,False,True,False,False,True
338,False,False,False,False,False,False,False,True,True,False
339,True,False,False,False,False,False,False,True,True,False
340,True,False,False,False,False,True,False,False,False,True
341,False,True,False,False,False,False,False,True,True,False
342,False,True,True,False,False,False,False,True,True,False
343,False,False,False,False,False,False,True,False,False,True
344,True,False,False,False,False,False,True,False,False,True
345,False,True,False,False,False,False,False,True,True,False
346,False,True,False,False,False,True,False,False,False,True
347,False,False,False,False,False,False,True,False,False,True
348,False,True,True,False,False,False,False,True,True,False
349,False,False,False,False,False,False,True,False,False,True
350,False,False,False,False,False,False,True,False,False,True
351,False,False,False,False,False,False,False,True,True,False
352,True,False,False,False,False,True,False,False,False,True
353,False,False,False,False,False,False,False,True,True,False
354,False,True,False,False,False,False,True,False,False,True
355,False,True,False,False,False,False,False,True,True,False
356,True,False,False,False,False,True,False,False,False,True
357,True,False,False,False,False,False,True,False,True,False
358,False,False,False,False,False,True,False,False,False,True
359,False,True,False,False,False,False,True,False,True,False
360,False,True,False,False,False,False,False,True,True,False
361,True,False,False,False,False,False,False,True,True,False
362,False,True,False,False,False,False,False,True,True,False
363,False,False,False,False,False,False,True,False,False,True
364,True,False,False,False,False,False,True,False,False,True
365,True,False,False,False,False,True,False,False,False,True
366,True,False,False,False,False,False,True,False,False,True
367,False,True,False,False,False,False,False,True,True,False
368,False,False,False,False,False,False,True,False,False,True
369,False,False,False,False,False,False,True,False,False,True
370,True,False,False,False,False,False,True,False,False,True
371,False,True,False,False,False,True,False,False,False,True
372,True,False,False,False,False,True,False,False,False,True
373,False,False,False,False,False,False,False,True,True,False
374,True,False,False,False,False,True,False,False,False,True
375,False,True,False,True,False,False,False,True,True,False
376,False,False,False,False,False,False,False,True,True,False
377,False,False,False,False,False,False,False,True,True,False
378,True,False,False,False,False,False,True,False,False,True
379,False,False,False,False,False,False,True,False,False,True
380,True,False,False,False,False,False,True,False,False,True
381,False,True,False,False,False,False,False,True,True,False
382,False,True,False,False,False,False,True,False,False,True
383,False,False,False,False,False,False,True,False,False,True
384,True,False,False,False,False,False,True,False,False,True
385,False,False,False,False,False,False,False,True,True,False
386,False,True,False,False,False,False,False,True,True,False
387,False,False,True,False,False,False,False,True,True,False
388,True,False,False,False,False,False,True,False,False,True
389,False,True,False,True,False,False,False,True,True,False
390,True,False,False,False,False,False,True,False,False,True
391,False,True,True,False,False,False,False,True,True,False
392,False,True,False,False,False,False,False,True,True,False
393,False,False,False,False,False,False,True,False,True,False
394,False,True,False,False,False,False,True,False,True,False
395,False,True,True,False,False,False,True,False,False,True
396,False,True,False,False,False,False,False,True,True,False
397,True,False,False,False,False,False,False,True,True,False
398,False,True,False,False,False,False,True,False,False,True
399,False,True,False,False,False,False,False,True,True,False
400,False,True,False,False,False,True,False,False,True,False
401,False,False,False,False,False,False,True,False,False,True
402,False,False,False,False,False,False,False,True,True,False
403,False,True,False,False,False,False,False,True,True,False
404,False,True,True,False,False,False,False,True,True,False
405,False,True,True,False,False,True,False,False,True,False
406,False,True,True,False,False,False,False,True,True,False
407,False,False,False,False,False,False,False,True,True,False
408,True,False,False,False,False,False,True,False,False,True
409,False,True,False,False,False,False,False,True,True,False
410,False,True,False,False,False,False,False,True,True,False
411,False,True,False,False,False,False,False,True,True,False
412,True,False,False,False,False,False,True,False,False,True
413,True,False,False,False,False,False,True,False,False,True
414,False,True,False,False,False,False,False,True,True,False
415,True,False,False,False,False,False,True,False,False,True
416,False,False,False,False,False,False,False,True,True,False
417,False,True,False,False,False,False,True,False,True,False
418,False,True,True,False,False,False,True,False,False,True
419,False,True,True,True,False,True,False,False,False,True
420,False,False,False,False,False,False,True,False,True,False
421,True,False,False,False,False,False,True,False,False,True
422,True,False,False,False,False,True,False,False,True,False
423,True,False,False,False,False,False,True,False,False,True
424,False,True,False,False,False,True,False,False,False,True
425,False,True,False,False,False,False,True,False,True,False
426,True,False,False,False,False,True,False,False,False,True
427,True,False,False,False,False,False,False,True,True,False
428,True,False,False,False,False,False,True,False,False,True
429,True,False,False,False,False,True,False,False,False,True
430,True,False,False,False,False,False,True,False,False,True
431,False,False,False,False,False,False,False,True,True,False
432,False,True,True,False,False,False,False,True,True,False
433,False,True,False,False,False,False,False,True,True,False
434,True,False,False,False,False,False,True,False,False,True
435,False,False,False,False,False,False,False,True,True,False
436,True,False,False,False,False,True,False,False,False,True
437,True,False,False,False,False,False,True,False,False,True
438,False,False,False,False,False,False,True,False,False,True
439,True,False,False,False,False,False,True,False,False,True
440,False,False,False,False,False,True,False,False,False,True
441,True,False,False,False,False,True,False,False,False,True
442,True,False,False,False,False,False,True,False,False,True
443,True,False,False,False,False,False,False,True,True,False
444,True,False,False,False,False,False,True,False,False,True
445,True,False,False,False,False,True,False,False,False,True
446,False,True,False,False,False,False,False,True,True,False
447,False,False,False,True,False,False,False,True,True,False
448,False,True,False,False,False,False,True,False,False,True
449,False,False,False,False,False,True,False,False,False,True
450,True,False,False,False,False,False,True,False,False,True
451,False,True,False,False,False,False,False,True,True,False
452,False,True,True,False,False,False,False,True,True,False
453,False,False,False,False,False,False,False,True,True,False
454,False,True,False,False,False,False,False,True,True,False
455,True,False,False,False,False,False,False,True,True,False
456,False,False,False,False,False,False,True,False,False,True
457,True,False,False,False,False,False,True,False,False,True
458,True,False,False,False,False,False,False,True,True,False
459,False,False,False,False,False,False,True,False,False,True
460,True,False,False,False,False,False,False,True,True,False
461,True,False,False,False,False,False,False,True,True,False
462,False,False,False,False,False,False,False,True,True,False
463,True,False,False,False,False,False,True,False,True,False
464,False,True,False,False,False,False,False,True,True,False
465,False,False,False,False,False,False,True,False,False,True
466,False,False,False,False,False,False,False,True,True,False
467,True,False,False,False,False,False,False,True,True,False
468,False,False,False,False,False,False,True,False,False,True
469,False,True,False,False,False,True,False,False,False,True
470,False,True,False,False,False,False,False,True,True,False
471,True,False,False,False,False,False,False,True,True,False
472,False,False,False,False,False,False,False,True,True,False
473,False,True,False,False,False,False,True,False,False,True
474,False,True,False,False,False,False,False,True,True,False
475,False,True,True,False,False,False,False,True,True,False
476,True,False,False,False,False,False,True,False,False,True
477,True,False,False,False,False,False,True,False,False,True
478,True,False,False,False,False,False,True,False,False,True
479,True,False,False,False,False,False,True,False,False,True
480,False,False,False,False,False,False,False,True,True,False
481,True,False,False,False,False,True,False,False,True,False
482,False,False,False,False,False,False,False,True,True,False
483,False,True,False,False,False,False,False,True,True,False
484,True,False,False,False,False,False,True,False,False,True
485,False,True,False,False,False,False,False,True,True,False
486,False,True,False,False,False,False,True,False,False,True
487,True,False,False,False,False,False,True,False,False,True
488,True,False,False,False,False,True,False,False,False,True
489,True,False,False,False,False,False,True,False,True,False
490,False,False,False,False,False,False,True,False,False,True
491,False,True,False,False,False,False,False,True,True,False
492,False,True,False,False,False,False,True,False,False,True
493,False,True,False,False,False,False,False,True,True,False
494,False,False,True,False,False,False,False,True,True,False
495,True,False,False,False,False,True,False,False,False,True
496,False,True,False,False,False,False,False,True,True,False
497,False,True,False,False,False,False,False,True,True,False
498,False,False,True,False,False,False,False,True,True,False
499,False,True,False,False,False,False,False,True,True,False
500,False,True,False,False,False,True,False,False,False,True
501,False,False,False,True,False,False,False,True,True,False
502,False,True,False,False,False,True,False,False,False,True
503,True,False,False,False,False,False,True,False,False,True
504,False,True,False,False,False,False,False,True,True,False
505,False,False,False,False,False,False,True,False,False,True
506,False,True,True,False,False,False,False,True,True,False
507,True,False,False,False,False,False,False,True,True,False
508,True,False,False,False,False,True,False,False,False,True
509,False,True,False,False,False,False,False,True,True,False
510,True,False,False,False,False,False,False,True,True,False
511,False,True,False,False,False,False,False,True,True,False
512,False,True,False,False,False,False,False,True,True,False
513,False,True,False,False,False,False,True,False,False,True
514,False,True,False,False,False,False,True,False,False,True
515,False,False,False,False,False,False,False,True,True,False
516,False,False,False,False,False,True,False,False,False,True
517,False,False,False,False,False,False,True,False,False,True
518,True,False,False,False,False,True,False,False,False,True
519,False,False,True,False,False,False,False,True,True,False
520,True,False,False,False,False,False,False,True,True,False
521,True,False,False,False,False,False,True,False,False,True
522,True,False,False,False,False,True,False,False,False,True
523,False,False,True,False,False,True,False,False,False,True
524,False,True,False,False,False,False,False,True,True,False
525,False,False,False,False,False,True,False,False,False,True
526,False,False,False,False,False,False,False,True,True,False
527,True,False,False,False,False,False,True,False,False,True
528,False,True,False,False,False,False,True,False,False,True
529,False,True,True,True,False,False,False,True,True,False
530,False,True,False,False,False,False,False,True,True,False
531,False,False,False,False,False,False,False,True,True,False
532,False,True,True,False,False,False,False,True,True,False
533,True,False,False,False,False,False,True,False,False,True
534,False,False,False,False,False,False,False,True,False,True
535,False,True,False,False,False,False,False,True,True,False
536,True,False,False,False,False,True,False,False,False,True
537,False,False,True,True,False,False,False,True,True,False
538,False,True,False,False,False,False,False,True,True,False
539,False,True,False,False,False,False,False,True,True,False
540,False,False,False,False,False,False,False,True,True,False
541,False,True,True,False,False,False,False,True,True,False
542,False,False,True,False,False,False,False,True,True,False
543,True,False,False,False,False,False,False,True,True,False
544,False,False,False,False,False,True,False,False,False,True
545,False,True,False,False,False,False,False,True,True,False
546,False,True,False,False,False,False,False,True,True,False
547,False,True,False,False,False,True,False,False,False,True
548,False,False,False,False,False,False,True,False,False,True
549,False,True,False,False,False,False,False,True,True,False
550,True,False,False,False,False,False,True,False,False,True
551,True,False,False,False,False,True,False,False,False,True
552,True,False,False,False,False,False,True,False,False,True
553,True,False,False,False,False,False,True,False,False,True
554,False,True,False,False,False,False,False,True,True,False
555,True,False,False,False,False,True,False,False,False,True
556,True,False,False,False,False,False,True,False,False,True
557,False,True,True,False,False,False,False,True,True,False
558,False,True,False,False,False,True,False,False,False,True
559,False,True,False,False,False,True,False,False,False,True
560,True,False,False,False,False,True,False,False,False,True
561,False,True,False,False,False,False,True,False,False,True
562,True,False,False,False,False,True,False,False,False,True
563,False,False,False,False,False,False,False,True,True,False
564,False,False,True,False,False,False,False,True,True,False
565,False,True,False,False,False,False,False,True,True,False
566,False,True,False,False,False,False,False,True,True,False
567,True,False,False,False,False,True,False,False,False,True
568,False,True,False,False,False,False,False,True,True,False
569,False,False,True,False,False,True,False,False,False,True
570,True,False,False,False,False,True,False,False,False,True
571,False,True,True,False,False,False,False,True,True,False
572,False,False,True,False,False,False,False,True,True,False
573,False,True,False,False,False,True,False,False,False,True
574,False,False,False,False,False,False,True,False,False,True
575,True,False,False,False,False,False,True,False,False,True
576,False,True,False,False,False,False,False,True,True,False
577,False,True,False,False,False,False,False,True,True,False
578,False,False,False,False,False,False,False,True,True,False
579,True,False,False,False,False,True,False,False,False,True
580,True,False,False,False,False,False,True,False,False,True
581,True,False,False,False,False,False,False,True,False,True
582,False,True,False,False,False,False,False,True,True,False
583,False,False,False,False,False,False,False,True,True,False
584,False,True,False,False,False,False,False,True,True,False
585,False,False,False,False,False,False,True,False,False,True
586,False,False,False,False,False,False,False,True,True,False
587,False,False,False,False,False,False,False,True,True,False
588,False,True,True,False,False,True,False,False,False,True
589,False,True,False,False,False,False,True,False,True,False
590,False,True,False,False,False,False,True,False,False,True
591,False,True,False,False,False,False,False,True,True,False
592,True,False,False,False,False,False,True,False,False,True
593,False,False,False,False,False,False,False,True,True,False
594,True,False,False,False,False,False,True,False,False,True
595,True,False,False,False,False,True,False,False,False,True
596,True,False,False,False,False,True,False,False,False,True
597,False,False,False,False,False,False,True,False,False,True
598,True,False,False,False,False,True,False,False,True,False
599,False,True,False,False,False,False,False,True,True,False
600,False,True,True,False,False,False,False,True,True,False
601,False,True,False,False,False,False,False,True,True,False
602,True,False,False,False,False,False,False,True,True,False
603,True,False,False,False,False,False,True,False,True,False
604,False,True,False,False,False,False,True,False,False,True
605,True,False,False,False,False,False,False,True,True,False
606,False,True,False,False,False,False,False,True,True,False
607,True,False,False,False,False,False,False,True,True,False
608,True,False,False,False,False,False,True,False,False,True
609,True,False,False,False,False,False,True,False,True,False
610,False,False,False,False,False,False,True,False,False,True
611,True,False,False,False,False,True,False,False,True,False
612,False,True,False,False,False,False,False,True,True,False
613,False,True,False,False,False,False,False,True,True,False
614,False,True,False,False,False,True,False,False,False,True
615,False,True,True,False,False,False,False,True,True,False
616,True,False,False,False,False,True,False,False,False,True
617,False,True,False,False,False,False,False,True,True,False
618,True,False,False,False,False,True,False,False,False,True
619,False,False,False,False,False,False,False,True,True,False
620,False,False,False,False,False,False,False,True,True,False
621,False,True,False,False,False,False,True,False,True,False
622,False,True,False,False,False,False,False,True,True,False
623,False,False,False,False,False,True,False,False,False,True
624,False,False,False,False,False,False,True,False,False,True
625,False,True,False,False,False,False,False,True,True,False
626,False,True,False,False,False,False,False,True,True,False
